/usr/lib/jdk1.8.0_111/bin/java -Didea.launcher.port=7538 -Didea.launcher.bin.path=/home/centos/Downloads/idea-IC-163.10154.41/bin -Dfile.encoding=UTF-8 -classpath /usr/lib/jdk1.8.0_111/jre/lib/charsets.jar:/usr/lib/jdk1.8.0_111/jre/lib/deploy.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/cldrdata.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/dnsns.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/jaccess.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/jfxrt.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/localedata.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/nashorn.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunec.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunjce_provider.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunpkcs11.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/zipfs.jar:/usr/lib/jdk1.8.0_111/jre/lib/javaws.jar:/usr/lib/jdk1.8.0_111/jre/lib/jce.jar:/usr/lib/jdk1.8.0_111/jre/lib/jfr.jar:/usr/lib/jdk1.8.0_111/jre/lib/jfxswt.jar:/usr/lib/jdk1.8.0_111/jre/lib/jsse.jar:/usr/lib/jdk1.8.0_111/jre/lib/management-agent.jar:/usr/lib/jdk1.8.0_111/jre/lib/plugin.jar:/usr/lib/jdk1.8.0_111/jre/lib/resources.jar:/usr/lib/jdk1.8.0_111/jre/lib/rt.jar:/home/centos/IdeaProjects/Verk1/out/production/Verk1:/home/centos/.ivy2/cache/org.scala-lang/scala-library/jars/scala-library-2.12.1.jar:/home/centos/.ivy2/cache/org.scala-lang/scala-reflect/jars/scala-reflect-2.12.1.jar:/home/centos/Downloads/idea-IC-163.10154.41/lib/idea_rt.jar com.intellij.rt.execution.application.AppMain Main -s 1000 -e 100000 -n 3 -w 10000000 -i 500 -sm 3000
Parameters: S: 1000 , E: 100000 , N: 3 , W: 10000000 , I:500 , Sm: 3000
Resetting counter between each W random write operations
---------------------
---------------------
Testing writes by finger table
NetworkSize: 1001
82910: writeCount 30036
82923: writeCount 23490
82954: writeCount 20474
83164: writeCount 25450
83193: writeCount 27040
83543: writeCount 58966
83727: writeCount 56198
83732: writeCount 53775
83875: writeCount 33078
84013: writeCount 28447
84061: writeCount 32840
84194: writeCount 31925
84283: writeCount 27099
84353: writeCount 29280
84392: writeCount 19816
84463: writeCount 18065
84508: writeCount 15600
84527: writeCount 13518
84579: writeCount 11465
84832: writeCount 32157
84949: writeCount 42123
84961: writeCount 38257
84968: writeCount 13706
85096: writeCount 14728
85226: writeCount 26377
85398: writeCount 43030
85692: writeCount 59752
85703: writeCount 47981
85710: writeCount 31369
85755: writeCount 6418
85802: writeCount 9855
85889: writeCount 17982
85896: writeCount 14064
86015: writeCount 21341
86064: writeCount 17279
86087: writeCount 18956
86095: writeCount 8007
86620: writeCount 55726
86627: writeCount 54051
86648: writeCount 55285
86733: writeCount 11202
86782: writeCount 15498
87134: writeCount 48576
87189: writeCount 45670
87191: writeCount 40876
87438: writeCount 30472
87453: writeCount 26474
87561: writeCount 37168
87612: writeCount 17443
87670: writeCount 21741
87987: writeCount 42506
87997: writeCount 38425
88033: writeCount 36272
88074: writeCount 8639
88141: writeCount 14392
88183: writeCount 14809
88402: writeCount 32735
88535: writeCount 39216
88569: writeCount 38543
88660: writeCount 25884
88697: writeCount 16426
88727: writeCount 15967
88770: writeCount 11129
88876: writeCount 17895
89045: writeCount 31938
89068: writeCount 29851
89074: writeCount 19930
89120: writeCount 7378
89254: writeCount 18241
89290: writeCount 21295
89553: writeCount 43153
89633: writeCount 37835
89764: writeCount 47230
89793: writeCount 23823
89893: writeCount 25914
89993: writeCount 22874
90245: writeCount 45606
90316: writeCount 42765
90400: writeCount 41289
90514: writeCount 26998
90569: writeCount 25368
90694: writeCount 29434
90819: writeCount 30679
90844: writeCount 27562
91038: writeCount 34628
91157: writeCount 33815
91380: writeCount 53867
91409: writeCount 37194
91418: writeCount 26300
91432: writeCount 5316
91534: writeCount 12553
91590: writeCount 17229
91673: writeCount 23976
91736: writeCount 20016
91797: writeCount 20441
91897: writeCount 22066
91923: writeCount 18392
91926: writeCount 12699
92224: writeCount 32565
92241: writeCount 31640
92640: writeCount 71180
92732: writeCount 50688
92774: writeCount 53202
92812: writeCount 17131
92865: writeCount 13170
92967: writeCount 19249
93040: writeCount 22846
93131: writeCount 26610
93132: writeCount 16448
93305: writeCount 26407
93616: writeCount 48674
93617: writeCount 48705
93760: writeCount 45567
93800: writeCount 18417
93813: writeCount 19598
93850: writeCount 9043
93852: writeCount 5141
93900: writeCount 8705
93911: writeCount 6161
93961: writeCount 11015
94063: writeCount 16424
94140: writeCount 23046
94387: writeCount 42558
94480: writeCount 41585
94534: writeCount 39199
94568: writeCount 18054
94591: writeCount 11029
94668: writeCount 13316
95014: writeCount 44363
95033: writeCount 44040
95140: writeCount 47254
95225: writeCount 21404
95240: writeCount 20970
95257: writeCount 11923
95390: writeCount 16697
95524: writeCount 28702
95549: writeCount 29311
95565: writeCount 17502
95574: writeCount 4824
95930: writeCount 37664
96120: writeCount 55118
96203: writeCount 62717
96577: writeCount 64774
96701: writeCount 58191
96828: writeCount 62569
96994: writeCount 41879
97106: writeCount 40652
97252: writeCount 42337
97698: writeCount 70536
97799: writeCount 69517
98012: writeCount 76296
98290: writeCount 59370
98443: writeCount 64291
98492: writeCount 47980
98510: writeCount 21884
98524: writeCount 8169
98540: writeCount 4873
98567: writeCount 5926
98588: writeCount 6672
98648: writeCount 10862
98675: writeCount 10714
98742: writeCount 15338
98979: writeCount 33059
99470: writeCount 79206
99533: writeCount 78554
99545: writeCount 56162
99684: writeCount 21223
99723: writeCount 18869
99771: writeCount 22461
99786: writeCount 10041
99867: writeCount 14480
99887: writeCount 11696
99896: writeCount 11153
99972: writeCount 10690
28: writeCount 14386
35: writeCount 14184
247: writeCount 27722
462: writeCount 43435
713: writeCount 68180
732: writeCount 48768
806: writeCount 34795
815: writeCount 10271
965: writeCount 23239
1060: writeCount 25460
1141: writeCount 32591
1259: writeCount 29336
1577: writeCount 51339
1629: writeCount 48529
1795: writeCount 53453
1838: writeCount 26181
1861: writeCount 23211
2011: writeCount 21938
2156: writeCount 31914
2169: writeCount 30897
2327: writeCount 31638
2380: writeCount 22597
2504: writeCount 33939
2515: writeCount 19044
2560: writeCount 18272
2569: writeCount 6528
2720: writeCount 20154
2736: writeCount 17202
